"","X","text","n"
"1",1,"small craft advisory",10
"2",2,"05 200 pm edt",2
"3",3,"lower niagara river lo",2
"4",4,"marine weather statement mws",2
"5",5,"upper niagara river",2
"6",6,"16 100 pm edt",1
"7",7,"20 200 pm edt",1
"8",8,"900 am edt",1
"9",9,"ugh  upper river",1
"10",10,"wen dey dun",1
