"","sentiment","n","percent"
"1","anger",15,3.92
"2","anticipation",48,12.53
"3","disgust",15,3.92
"4","fear",189,49.35
"5","joy",33,8.62
"6","sadness",19,4.96
"7","surprise",20,5.22
"8","trust",44,11.49
