"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033200","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"2","GB106038033200","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"3","GB106038033200","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"4","GB106038033200","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"5","GB106038033200","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"6","GB106038033200","Water Industry","Suspected","Waste water treatment","Sewage discharge (intermittent)","Suspected"
"7","GB106038033200","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"8","GB106038033200","No sector responsible","Not applicable","Not applicable","Other riparian plants","Confirmed"
"9","GB106038033200","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"10","GB106038033200","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
