"","X","text","n"
"1",1,"shady brook farms",777
"2",2,"turkey brook park",523
"3",3,"the turkey bowl",60
"4",4,"the failed coup",59
"5",5,"the united states",56
"6",6,"turkey brook park budd lake",50
"7",7,"turkey hill honey brook pa",41
"8",8,"the turkey brook",39
"9",9,"brook farm cuffley",36
"10",10,"the international community",36
"11",11,"honeysuckle white®",34
"12",12,"new year new leaf",32
"13",13,"syrian refugees turkey",32
"14",14,"the eu migrant deal",31
"15",15,"the ankara bombing",30
"16",16,"the new geopolitics",30
"17",17,"| brookings institution",29
"18",18,"the euturkey migration deal",29
"19",19,"the grocery store",29
"20",20,"the new scramble",27
"21",21,"his own party",26
"22",22,"shady brook farms®",26
"23",23,"the eastern mediterranean",26
"24",24,"the wrong direction",26
"25",25,"the last chance",25
