"","created_at","mean_senti"
"1",2008-05-10,0
"2",2008-09-22,0
"3",2009-01-31,1.25
"4",2009-02-18,-0.25
"5",2009-04-06,-0.4
"6",2009-04-15,0.05
"7",2009-04-17,0.5
"8",2009-05-16,0
"9",2009-05-17,0
"10",2009-06-02,0.425
"11",2009-06-03,-0.25
"12",2009-06-10,0.75
"13",2009-06-15,-1
"14",2009-07-14,0.5
"15",2009-08-08,1.05
"16",2009-08-22,0
"17",2009-09-18,1
"18",2009-09-25,0.5
"19",2009-10-11,1.25
"20",2009-10-15,0.45
"21",2009-10-31,0.75
"22",2009-11-01,0
"23",2009-11-07,-1
"24",2009-11-13,0.55
"25",2009-12-02,1.6
"26",2009-12-12,1.2
"27",2009-12-13,0.8
"28",2010-01-03,0
"29",2010-01-19,0.8
"30",2010-01-20,-0.75
"31",2010-01-25,-0.25
"32",2010-02-01,0.8
"33",2010-02-05,0
"34",2010-02-09,-0.5
"35",2010-03-07,0
"36",2010-03-22,0.75
"37",2010-04-08,0.5
"38",2010-04-11,0.75
"39",2010-04-16,0.65
"40",2010-04-20,1.25
"41",2010-04-22,0.25
"42",2010-05-17,1
"43",2010-05-21,0
"44",2010-05-23,1.75
"45",2010-06-04,-0.25
"46",2010-06-08,0.75
"47",2010-06-10,0.25
"48",2010-06-19,0
"49",2010-06-20,0.5
"50",2010-06-22,0
"51",2010-06-23,0.3
"52",2010-07-02,0.5
"53",2010-07-06,0.8
"54",2010-07-18,0.2
"55",2010-07-24,0.55
"56",2010-08-09,1
"57",2010-09-17,0
"58",2010-09-30,1.15
"59",2010-10-01,0.8
"60",2010-10-02,1.6
"61",2010-10-07,0
"62",2010-10-11,0.5
"63",2010-10-12,0.9
"64",2010-10-21,0.2
"65",2010-10-23,0
"66",2010-11-02,-1
"67",2010-11-05,0.725
"68",2010-11-07,1.4
"69",2010-11-17,0.5
"70",2010-11-25,-1.85
"71",2010-12-04,0.4
"72",2010-12-23,-0.75
"73",2010-12-26,-0.1
"74",2010-12-27,0
"75",2011-01-07,0.375
"76",2011-01-08,-0.25
"77",2011-01-11,-0.8
"78",2011-01-17,0
"79",2011-01-22,0
"80",2011-01-23,0.138888888888889
"81",2011-01-27,0.25
"82",2011-02-01,-1.25
"83",2011-02-03,0
"84",2011-02-04,-1
"85",2011-02-09,0.8
"86",2011-02-17,0.75
"87",2011-02-25,1
"88",2011-02-27,1.25
"89",2011-03-07,0.516666666666667
"90",2011-03-08,0
"91",2011-03-11,-0.175
"92",2011-03-12,0
"93",2011-03-18,0
"94",2011-03-21,1.9
"95",2011-03-26,0.1875
"96",2011-03-27,0
"97",2011-04-03,1.4
"98",2011-04-08,0.15
"99",2011-04-22,0.25
"100",2011-04-24,1.8
"101",2011-04-25,-0.25
"102",2011-04-26,0.85
"103",2011-04-27,1.05
"104",2011-05-10,0.75
"105",2011-05-15,-0.25
"106",2011-05-21,0.75
"107",2011-05-22,2
"108",2011-05-24,0
"109",2011-05-25,0
"110",2011-06-06,1.85
"111",2011-06-09,1.35
"112",2011-06-11,2.6
"113",2011-06-12,0
"114",2011-06-20,0.25
"115",2011-06-23,-0.15
"116",2011-06-24,0.725
"117",2011-06-29,0.75
"118",2011-06-30,-1
"119",2011-07-04,0
"120",2011-07-09,0.75
"121",2011-07-12,0
"122",2011-07-14,0.5
"123",2011-07-20,0.1
"124",2011-07-21,0.25
"125",2011-07-22,0.375
"126",2011-07-23,0.5
"127",2011-07-25,0.5
"128",2011-07-27,1.85
"129",2011-07-28,-0.25
"130",2011-07-29,1.9
"131",2011-07-31,0.5
"132",2011-08-07,1
"133",2011-08-08,-0.216666666666667
"134",2011-08-09,-0.133333333333333
"135",2011-08-12,-0.46875
"136",2011-08-13,0.375
"137",2011-08-14,0
"138",2011-08-16,0.3375
"139",2011-08-17,0.25
"140",2011-08-18,0.416666666666667
"141",2011-08-19,0.25
"142",2011-08-20,0.333333333333333
"143",2011-09-06,-0.25
"144",2011-09-09,0
"145",2011-09-10,0
"146",2011-09-12,1.5
"147",2011-09-13,0.6
"148",2011-09-14,-1.5
"149",2011-09-15,-2.5
"150",2011-09-16,0.2
"151",2011-09-17,0
"152",2011-09-20,0.25
"153",2011-09-21,0.25
"154",2011-09-22,0.166666666666667
"155",2011-09-23,0.25
"156",2011-09-24,0.333333333333333
"157",2011-09-28,0
"158",2011-10-02,0.9
"159",2011-10-14,0.25
"160",2011-10-15,0.8
"161",2011-10-21,0.583333333333333
"162",2011-10-22,0.333333333333333
"163",2011-10-26,1.25
"164",2011-10-29,0
"165",2011-11-04,0
"166",2011-11-05,2.35
"167",2011-11-07,-0.5
"168",2011-11-09,1.25
"169",2011-11-18,2.15
"170",2011-12-01,-0.125
"171",2011-12-03,0.625
"172",2011-12-04,1.525
"173",2011-12-08,0
"174",2011-12-14,0.5
"175",2011-12-16,0.8
"176",2011-12-18,0.7
"177",2011-12-22,0.25
"178",2011-12-25,1.7
"179",2011-12-27,0
"180",2012-01-02,0
"181",2012-01-03,-0.25
"182",2012-01-05,0.3
"183",2012-01-11,-1
"184",2012-01-13,0.675
"185",2012-01-14,1
"186",2012-01-16,0.5
