"","X","text","n"
"1",1,"a level coursework",1
"2",2,"a local nature reserve",1
"3",3,"a spring hike",1
"4",4,"a wet winter",1
"5",5,"those walking boots",1
"6",6,"whitmoor walk brook pond",1
"7",7,"whitmoor walk eve brook pond",1
