"","sentiment","n","percent"
"1","anger",134,11.49
"2","anticipation",188,16.12
"3","disgust",127,10.89
"4","fear",114,9.78
"5","joy",189,16.21
"6","sadness",139,11.92
"7","surprise",98,8.4
"8","trust",177,15.18
