"","X","text","n"
"1",1,"48count sidewalk chalk",18
"2",2,"big outdoor art",18
"3",3,"bright bold crayola cray",18
"4",4,"the only sidewalk chalk",18
"5",5,"a chalk board",12
"6",6,"only igbo boys",10
"7",7,"4 color temporary hair dye hair lipstick chalk cray",5
"8",8,"a chalk stream",5
"9",9,"that shit cray",5
"10",10,"the river cray",5
"11",11,"inside paracetamol pack",4
"12",12,"chalk pit avenue",3
"13",13,"crayola special effects sidewalk chalk  glitter crayola special effects sidewalk chalk  glitter",3
"14",14,"drafting engineering art general catalog sidwlk",3
"15",15,"illusory sidewalk toys",3
"16",16,"nah money mata",3
"17",17,"pencil cray cray",3
"18",18,"that chalk cray",3
"19",19,"the crayola 3d giant chalk",3
"20",20,"the word cray",3
"21",21,"1 cray bomber",2
"22",22,"17th november 2015 chalk stream river cray habitat",2
"23",23,"3d sidewalk chalk activity kit",2
"24",24,"a bad game",2
"25",25,"a full moon",2
