"","X","text","n"
"1",1,"salmon brook park",144
"2",2,"salmon brook ct",87
"3",3,"the pymmes brook",81
"4",4,"small brook trout",64
"5",5,"our ichthus reels",56
"6",6,"the brook white nike logos dance",42
"7",7,"the clear water",39
"8",8,"salmon brook veterinary hospital",35
"9",9,"the pymmes brook trail",32
"10",10,"the boland brook story",31
"11",11,"greater hartford 97 salmon brook street simsbury center",30
"12",12,"97 salmon brook street simsbury center",27
"13",13,"salmon brook street",26
"14",14,"the lower farmington river",26
"15",15,"the river lea",25
"16",16,"wall repair salmon brook ct",23
"17",17,"wall salmon brook",23
"18",18,"goshen salmon river",22
"19",19,"outage goshen salmon river",20
"20",20,"the brook trout",19
"21",21,"the salmon river",19
"22",22,"a brook trout",17
"23",23,"corner brook stream",17
"24",24,"belstead brook hotel",16
"25",25,"every state fish",16
