"","sentiment","n","percent"
"1","anger",86,4.59
"2","anticipation",255,13.61
"3","disgust",47,2.51
"4","fear",632,33.72
"5","joy",240,12.81
"6","sadness",146,7.79
"7","surprise",132,7.04
"8","trust",336,17.93
