"source","target","value"
"No sector responsible","Barriers - ecological discontinuity",1
"No sector responsible","Natural conditions - other",1
"Other","Barriers - ecological discontinuity",2
"Sector under investigation","Unknown (pending investigation)",4
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",2
