"","sentiment","n","percent"
"1","anger",761,5.01
"2","anticipation",3374,22.23
"3","disgust",584,3.85
"4","fear",1093,7.2
"5","joy",3222,21.23
"6","sadness",1186,7.81
"7","surprise",1727,11.38
"8","trust",3229,21.28
