WBID,name,mine_query
GB106039030380,Bear Brook and Wendover Brook,Bear Brook OR Wendover Brook
GB106039030340,Worminghall Brook and tributaries,Worminghall Brook
GB106039023780,Haseley Brook,Haseley Brook
GB106039030320,Stoke Brook Aylesbury,Stoke Brook
GB106039030370,Thame (Aylesbury to Scotsgrove Brook),river thame aylesbury
GB106039023830,Latchford Brook at Tetsworth,Latchford Brook OR tetsworth river
GB106039030360,Holton Brook and tributaries,Holton Brook
GB106039023840,Cuttle Brook,Cuttle Brook
GB106039030430,Hardwick Brook (Source to Thame),hardwick brook
GB106039023750,Lewknor Brook,Lewknor Brook
GB106039030420,"Fleet Marston Brook, Denham Brook,  Pitchcott Brook west",Fleet Marston Brook OR Denham Brook OR Pitchcott Brook
GB106039030200,Kingsey Cuttle Brook and tributaries at Thame,Kingslye Cuttle Brook
GB106039023740,Chalgrove Brook,Chalgrove Brook
GB106040024150,Lower Cray,lower river Cray
GB106040024210,Shuttle,river Shuttle
GB106040023990,Upper Cray,upper river Cray
GB106040024222,Middle and Lower Darent,river Darent OR middle river darent OR lower river darent
GB106040024221,Upper Darent,upper river Darent
GB106039017640,Wandle (Carshalton Branch at Carshalton),river wandle OR river carshalton
GB106039023460,Wandle (Croydon to Wandsworth) and the R. Gra,river wandle OR river croydon OR river wandsworth
GB30642614,Kempton Park East Reservoir,Kempton Park East Reservoir
GB106039023030,Crane,river Crane
GB106039023051,Yeading Brook,Yeading Brook
GB106039023451,Portlane Brook,Portlane Brook
GB106039022850,Beverley Brook (Motspur Park to Thames) and Pyl Brook at West Barnes,beverley brook OR pyl brook
GB106039023500,Marsh Dykes (Woolwich),marsh dykes river OR river woolwich
GB106039023290,Quaggy,river Quaggy
GB106039023250,Pool River,Pool River
GB106039023270,Ravensbourne (Catford to Deptford),river ravensbourne OR river deptford OR river catford
GB106039023260,Ravensbourne (Keston to Catford),river ravensbourne OR river keston OR river catford
GB106039022940,Wealdstone Brook,Wealdstone Brook
GB106039022970,Silk Stream and Edgware Brook,Silk Stream OR Edgware Brook
GB106039023590,Lower Brent,river Brent
GB106039022980,Dollis Brook and Upper Brent,Dollis Brook OR river Brent
GB30641796,Bentley Priory,bentley priory river
GB30641690,Welsh Harp,Welsh Harp
GB106038077852,Lee (Tottenham Locks to Bow Locks/Three Mills Locks),river lee OR tottenham locks OR bow locks OR three mills locks
GB30641523,King Georges Reservoir,King Georges Reservoir
GB30641198,North Metropolitan pit,North Metropolitan pit
GB106038077851,Lea Navigation (Fieldes Weir to Enfield Lock),lea navigation OR fieldes weir OR enfield lock
GB106038027940,Pymmes Brook upstream Salmon Brook confluence,Pymmes Brook
GB30641193,Seventy Acres,Seventy Acres
GB106038027910,Pymmes and Salmon Brooks - Deephams STW to Tottenham Locks,deephams stw OR pymmes brook OR salmon brook OR tottenham locks
GB30641313,Bowyers Water,Bowyers Water
GB30641659,William Girling Reservoir,William Girling Reservoir
GB30641975,Stoke Newington East Reservoir,Stoke Newington East Reservoir
GB30647003,Banbury Reservoir,banbury reservoir
GB106038027960,Salmon Brook upstream Deephams STW,Salmon Brook OR Salmons Brook
GB30641939,Warwick Reservoir East,Warwick Reservoir East
GB106038033210,Nazeing Brook,Nazeing Brook
GB106038033190,Cobbins Brook,Cobbins Brook
GB30641956,Warwick Reservoir West,Warwick Reservoir West
GB30641274,Cheshunt Lake,Cheshunt Lake
GB106038027920,Moselle Brook,Moselle Brook
GB30641865,Lockwood Reservoir,Lockwood Reservoir
GB106038033200,Small River Lee (and tributaries),small river lee
GB106038027930,Ching Brook,Ching Brook
GB106038027950,Lea Navigation Enfield Lock to Tottenham Locks,Lea Navigation OR enfield lock OR tottenham locks
GB106038033180,Turkey Brook and Cuffley Brook,Turkey Brook OR Cuffley Brook
GB30641900,Low Maynard Reservoir,Low Maynard Reservoir
GB30641922,Walthamstow Reservoir No 4,Walthamstow Reservoir
GB30641884,High Maynard Reservoir,High Maynard Reservoir
GB30641924,Walthamstow Reservoir No 1,Walthamstow Reservoir 
GB106039017440,Hogsmill,river Hogsmill
GB30643125,Epsom Stew Pond,Epsom Stew Pond
GB106037033490,Higher Laver Brook,Higher Laver Brook
GB106037028140,Gores Brook,Gores Brook
GB106037028090,Southall Sewer and Runningwater Brook,Southall Sewer OR Runningwater Brook
GB106037033481,Cripsey Brook,Cripsey Brook
GB106037028130,Ingrebourne,river Ingrebourne
GB106037028181,Lower Roding (Loughton to Thames),river roding OR river loughton
GB106037028150,Brookhouse Brook,Brookhouse Brook
GB106037028120,Rom (Bourne Brook to Ravensbourne),river rom
GB106037028182,Lower Roding (Cripsey Bk to Loughton),river roding
GB106037028100,Beam and Ravensbourne,river Beam OR river Ravensbourne
GB106037033500,Upper Roding (to Cripsey Brook),river roding
GB106037028170,Seven Kings Water,Seven Kings Water
GB106037028171,Mayes Brook,Mayes Brook
GB806100092,Brent Feeder Canal,Brent Feeder Canal
GB70610078,"Grand Union Canal, Uxbridge to Hanwell Locks, Slough Arm, Paddington Arm",grand union canal OPR canal uxbridge OR hanwell locks OR canal slough OR canal paddington
GB70610183,"Grand Union Canal, Wendover Arm (disused)",grand union canal OR canal wendover
GB806100111,New River,new river
GB70610510,"Regents Canal, lower section",regents canal
GB70610197,"Oxford Canal, summit to Aynho",oxford canal OR aynho canal
GB70610542,"Oxford Canal, Thrupp to Thames",oxford canal OR thrupp canal
GB70610198,"Oxford Canal, Aynho to Thrupp",oxford canal OR aynho canal OR thrupp canal
GB806100002,Boddington Feeder (Oxford Canal),boddington feeder OR oxford canal
GB70610180,"Kennet and Avon Canal, Copse Lock to Reading",kennet canal OR avon canal OR copse lock OR reading canal
GB70610181,"Kennet and Avon Canal, summit to Copse Lock",kennet canal OR avon canal OR copse lock
GB806100108,Upper Duke of Northumberland's River, Duke of Northumberland's River
GB806100095,Lower Duke of Northumberland's River, Duke of Northumberland's River
GB806100109,Longford River,Longford River
GB70610019,Basingstoke Canal,Basingstoke Canal
GB806100325,Jubilee River,jubilee river
GB806100096,King George VI Reservoir water transfer,King George Reservoir 
GB70610185,"Grand Union Canal, Berkhamstead to Maple Lodge (RIvers Bulbourne, Gade and Colne)",grand union canal OR berkhamstead canal OR maple lodge canal
GB70610252,"Grand Union Canal, Maple Lodge to Uxbridge (Rivers Colne and Chess plus canal)",grand union canal OR maple lodge canal OR uxbridge canal
GB70610184,"Grand Union Canal, Tring summit to Berkhamstead",grand union canal OR tring summit canal OR berkhamstead canal
GB70610182,"Grand Union Canal, Tring summit",grand union canal OR tring summit
GB106037028070,Mardyke (East Tributary),river mardyke
GB106037028200,Mardyke,river Mardyke
GB106037028080,Mardyke (West Tributary),river mardyke
GB106040018560,White Drain,river White Drain
GB30642956,"Murston Lakes, angling lakes",murston lakes
