WBID,name,mine_query
GB106040018650,Tributary of Edenbrook,Eden Brook
GB106040018660,Eden Brook,Eden Brook
GB106040018630,Upper Eden,Eden river
GB106040018060,Tributary of Eden at Four Elms,Eden river OR four elms river
GB30643602,Bough Beech Reservoir,Bough Beech Reservoir
GB106040018640,Gibbs Brook,Gibbs Brook
GB30643485,Bay Pond,Bay Pond
GB106040018160,Lower Eden,Eden river
GB106040018350,Middle Eden,Eden river
GB30644023,Hedgecourt Lake,Hedgecourt Lake
GB106040018390,Eridge Stream,Eridge Stream
GB106040018370,Friars Gate Stream,Friars Gate Stream
GB106040018070,Medway at Weir Wood,Medway river OR weir wood river
GB106040013360,Jarvis Brook,Jarvis Brook
GB106040018090,Kent Water,Kent Water river
GB106040013370,Upper Eridge Stream,Eridge Stream
GB106040018181,Mid Medway from Hartfield to Eden Confluence,Medway river OR hartfield river
GB106040018360,Pippingford Brook,Pippingford Brook
GB30644310,Weir Wood Reservoir,Weir Wood Reservoir
GB106040018400,Grom,Grom river
GB106040018080,Shovelstrode Stream,Shovelstrode Stream
GB106040018100,Barden Mill Stream,Barden Mill Stream
GB106039037410,Evenlode (Compton Bk to Bledington Bk) and 4 Shires,evenlode river OR 4 shires river
GB106039030010,Glyme (Enstone to Dorn),glyme river OR enstone river OR dorn river
GB106039029880,Evenlode (Glyme to Thames),evenlode river OR glyme river
GB106039037380,Dorn (Source to Glyme),dorne river OR glyme river
GB106039030030,Heythorpe Stream and tributaries,Heythorpe Stream
GB106039029910,Littlestock Stream to tributary of Evenlode at Shipton,Littlestock Stream OR shipton river
GB106039030000,Bledington Brook (Source to Evenlode),bledington brook
GB106039029970,Coldron and Taston Brooks,Coldron Brook OR Taston Brook
GB106039037420,Evenlode (Source to Four Shires S) and Longborough Stream,evenlode river or four shires river OR longborough stream
GB106039029950,Westcote Brook (source to Evenlode at Bledington),westcote brook OR bledington river
GB106039029940,Glyme (Dorn confluence to Evenlode),glyme river
GB106039029980,Sars Brook (source to Evenlode downstream Bledington),sars brook OR bledington river
GB106039037400,Cornwell Brook and tributaries (Source to Evenlode),cornwell brook
GB106039030020,Glyme (Source to Enstone),glyme river OR enstone river
GB30640488,Cornbury Park Lakes,cornbury park lake
GB106039037390,Little Compton Brook and tributaries (Source to Evenlode),Little Compton Brook
GB106039029960,Evenlode (Bledington to Glyme confluence),evenlode river
GB30640514,Blenheim Lakes,Blenheim Lakes
GB106039030333,Thames (Leach to Evenlode),Thames river OR leach river
GB106039030440,Windrush and tributaries (Little Rissington to Thames),windrush river OR little rissington river
GB106039030260,Highmoor Brook at Brize Norton,Highmoor Brook OR brize norton river
GB106039030040,Leach (Source to Thames),leach river
GB106039037460,Windrush (Source to Slade Barn Stream),windrush river
GB106039030280,Shill Brook and Tributaries,Shill Brook
GB106039030470,Dikler (Wyck Rissington to Windrush) and Lower Eye,dikler river OR wyck rissington river OR lower eye river
GB106039030450,Hazelford and Coombe Brook,Hazelford Brook OR Coombe Brook
GB106039030232,Broadwell Brook,Broadwell Brook
GB106039037450,Eye (Source to Dikler),river eye
GB106039023770,Wadley Stream (Source to Thames at Duxford),watley stream OR duxford river
GB106039030460,Sherbourne Brook,Sherbourne Brook
GB106039037440,Slade Barn Stream (Source to Windrush),Slade Barn Stream
GB106039030231,Radcot Cut,Radcot Cut
GB30641011,Farmoor Reservoir,Farmoor Reservoir
GB106039030210,Filchhampstead Brook at Farmoor,Filchhampstead Brook OR farmoor river
GB106039030310,Chil and Limb Brooks (source to B4044),chil brook OR limb brook
GB106039037470,Dikler (Source to Wyck Rissington),river dikler OR wyck rissington river
GB106039030480,Windrush (Slade Barn Stream to Dikler),windrush river
GB106039023550,Chalvey Ditches,Chalvey Ditches
GB106039023231,Thames (Cookham to Egham),thames cookham river OR thames egham river
GB106039023232,Thames (Egham to Teddington),thames egham river OR thames teddington river
GB106039023440,Cut (Ascot to Bull Brook confluence at Warfield),cut river OR ascot river OR warfield river
GB30642430,Wraysbury Lake,Wraysbury Lake
GB106039023520,Datchet Common Brook,Datchet Common Brook
GB106039017670,Bull Brook,Bull Brook
GB106039023540,Roundmoor Ditch and Boveney Ditch,Roundmoor Ditch OR Boveney Ditch
GB106039017660,Cut at west Bracknell,River Cut OR west bracknell river
GB106039017680,Cut (Warfield to north Bracknell),cut river OR warfield river OR north bracknell river
GB30642791,Knight Reservoir,Knight Reservoir
GB106039023530,Salthill Stream,Salthill Stream
GB106039023511,Maidenhead Ditch,Maidenhead Ditch
GB106039023510,Cut (Binfield to River Thames confluence) and Maidenhead Ditch,cut river OR binfield river or maidenhead ditch
GB30642779,Bessborough Reservoir,Bessborough Reservoir
GB30642757,Englemere Pond,Englemere Pond
GB30647022,Littleworth Ponds,Littleworth Ponds
GB106038040120,Quin,river Quin
GB106038033270,Mimram (Codicote Bottom to Lee),mimram river OR codicote bottom river
GB106038040110,Beane (Source to Stevenage Brook),river beane
GB106038033330,Great Hallingbury Brook,Great Hallingbury Brook
GB106038033460,Mimram (Whitwell to Codicote Bottom),river mimram OR whitwell river OR codicote bottom river
GB106038033380,Pincey Brook,Pincey Brook
GB106038040140,"Rib (upper stretches, above confluence with the Quin",river rib
