"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Agriculture and rural land management","Reservoir / Impoundment - non flow related",1
"Local and Central Government","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Transport Drainage",1
"Urban and transport","Urbanisation - transport",1
"Water Industry","Sewage discharge (continuous)",1
