"source","target","value"
"Domestic General Public","Misconnections",2
"Local and Central Government","Other (not in list, must add details in comments)",1
"Navigation","Inland boating and structures",1
"Navigation","Use of restricted substance",1
"No sector responsible","Floating pennywort",1
"Recreation","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Contaminated water body bed sediments",1
"Urban and transport","Urbanisation - urban development",2
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",2
"Water Industry","Surface water abstraction",1
