"","X","text","n"
"1",1,"the river crane",1110
"2",2,"bronx river pkwy",365
"3",3,"the platte river",276
"4",4,"a vintage world war ii plane",259
"5",5,"the vintage plane",259
"6",6,"the new york area",252
"7",7,"the river clyde",134
"8",8,"the hudson river",121
"9",9,"river crane sanctuary",119
"10",10,"crane river theater",107
"11",11,"the crane wives",102
"12",12,"the river thames",96
"13",13,"sandhill crane tours",79
"14",14,"the crane river",77
"15",15,"bronx river parkway nb",76
"16",16,"ex 12  crane rd",76
"17",17,"port mann bridge",75
"18",18,"12  crane rd yonkers",74
"19",19,"crane river theater company",71
"20",20,"crane rd yonkers  rht shldr",65
"21",21,"crane valley river system",64
"22",22,"the crane valley river system",63
"23",23,"the crane valley river system image",63
"24",24,"the sandhill crane migration",63
"25",25,"a construction crane",62
